"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45408654677.9167;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 15:42:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408661622.3843;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 15:52:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408661622.3843;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 15:52:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408668566.8634;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 16:02:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408668566.8634;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 16:02:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408672897.2569;2;1;64;78;;;;;;;;;"26.04.2024 16:08:58";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408672908.7847;2;0;64;78;;;;;;;;;"26.04.2024 16:08:59";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408675511.3194;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 16:12:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408675511.3194;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 16:12:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408682455.7986;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 16:22:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408682455.7986;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 16:22:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408687306.3773;2;1;64;78;;;;;;;;;"26.04.2024 16:29:43";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408687318.0093;2;0;64;78;;;;;;;;;"26.04.2024 16:29:44";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45408689399.1435;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 16:32:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408689399.1435;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 16:32:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45408696343.669;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"26.04.2024 16:42:44";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45408696343.669;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"26.04.2024 16:42:44";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
