"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45464147872.9051;2;0;64;78;;;;;;;;;"21.06.2024 03:32:56";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464147930.7755;2;1;64;78;;;;;;;;;"21.06.2024 03:33:01";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464148046.4468;2;0;64;78;;;;;;;;;"21.06.2024 03:33:11";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464148092.7431;2;1;64;78;;;;;;;;;"21.06.2024 03:33:15";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464148127.4653;2;0;64;78;;;;;;;;;"21.06.2024 03:33:18";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464148243.1481;2;1;64;78;;;;;;;;;"21.06.2024 03:33:28";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464148289.4329;2;0;64;78;;;;;;;;;"21.06.2024 03:33:32";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464148416.8056;2;1;64;78;;;;;;;;;"21.06.2024 03:33:43";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464148520.9028;2;0;64;78;;;;;;;;;"21.06.2024 03:33:52";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464148567.1528;2;1;64;78;;;;;;;;;"21.06.2024 03:33:56";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464148613.5069;2;0;64;78;;;;;;;;;"21.06.2024 03:34:00";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464148636.7014;2;1;64;78;;;;;;;;;"21.06.2024 03:34:02";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464148671.3079;2;0;64;78;;;;;;;;;"21.06.2024 03:34:05";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464148717.7315;2;1;64;78;;;;;;;;;"21.06.2024 03:34:09";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464148810.1968;2;0;64;78;;;;;;;;;"21.06.2024 03:34:17";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464148856.5509;2;1;64;78;;;;;;;;;"21.06.2024 03:34:21";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
45464148879.6412;2;0;64;78;;;;;;;;;"21.06.2024 03:34:23";"Warnung Zugspannung Auslauf Ist und Soll weichen zu weit voneinander ab";"AME"
